date,name,weight-gm
2024-08-16,Franky,145
2024-08-16,Tony,222
2024-08-16,Tula,141
2024-08-16,Charlie,149
2024-08-17,Franky,157
2024-08-17,Tony,240
2024-08-17,Tula,146
2024-08-17,Charlie,158
2024-08-18,Franky,186
2024-08-18,Tony,279
2024-08-18,Tula,159
2024-08-18,Charlie,187
2024-08-19,Franky,216
2024-08-19,Tony,319
2024-08-19,Tula,177
2024-08-19,Charlie,217
2024-08-20,Franky,235
2024-08-20,Tony,374
2024-08-20,Tula,207
2024-08-20,Charlie,249
2024-08-21,Franky,270
2024-08-21,Tony,408
2024-08-21,Tula,231
2024-08-21,Charlie,274
2024-08-22,Franky,301
2024-08-22,Tony,435
2024-08-22,Tula,249
2024-08-22,Charlie,309
2024-08-23,Franky,326
2024-08-23,Tony,461
2024-08-23,Tula,276
2024-08-23,Charlie,333
2024-08-24,Franky,351
2024-08-24,Tony,475
2024-08-24,Tula,301
2024-08-24,Charlie,365
2024-08-25,Franky,382
2024-08-25,Tony,501
2024-08-25,Tula,310
2024-08-25,Charlie,377
2024-08-26,Franky,400
2024-08-26,Tony,541
2024-08-26,Tula,333
2024-08-26,Charlie,396
2024-08-27,Franky,433
2024-08-27,Tony,557
2024-08-27,Tula,357
2024-08-27,Charlie,450
2024-08-28,Franky,472
2024-08-28,Tony,593
2024-08-28,Tula,376
2024-08-28,Charlie,449
2024-08-29,Franky,481
2024-08-29,Tony,654
2024-08-29,Tula,406
2024-08-29,Charlie,487
2024-08-30,Franky,515
2024-08-30,Tony,664
2024-08-30,Tula,429
2024-08-30,Charlie,493
2024-08-31,Franky,541
2024-08-31,Tony,738
2024-08-31,Tula,463
2024-08-31,Charlie,526
2024-09-01,Franky,601
2024-09-01,Tony,761
2024-09-01,Tula,502
2024-09-01,Charlie,555
2024-09-02,Franky,624
2024-09-02,Tony,793
2024-09-02,Tula,530
2024-09-02,Charlie,605
2024-09-03,Franky,639
2024-09-03,Tony,819
2024-09-03,Tula,554
2024-09-03,Charlie,645
2024-09-04,Franky,669
2024-09-04,Tony,862
2024-09-04,Tula,576
2024-09-04,Charlie,648
2024-09-05,Franky,707
2024-09-05,Tony,891
2024-09-05,Tula,621
2024-09-05,Charlie,676
2024-09-06,Franky,753
2024-09-06,Tony,947
2024-09-06,Tula,640
2024-09-06,Charlie,695
2024-09-07,Franky,772
2024-09-07,Tony,975
2024-09-07,Tula,672
2024-09-07,Charlie,715
2024-09-08,Franky,799
2024-09-08,Tony,998
2024-09-08,Tula,692
2024-09-08,Charlie,743
2024-09-09,Franky,849
2024-09-09,Tony,1032
2024-09-09,Tula,732
2024-09-09,Charlie,778
2024-09-10,Franky,872
2024-09-10,Tony,1063
2024-09-10,Tula,747
2024-09-10,Charlie,801
2024-09-11,Franky,905
2024-09-11,Tony,1118
2024-09-11,Tula,785
2024-09-11,Charlie,817
2024-09-12,Franky,913
2024-09-12,Tony,1163
2024-09-12,Tula,814
2024-09-12,Charlie,821
2024-09-13,Franky,943
2024-09-13,Tony,1178
2024-09-13,Tula,815
2024-09-13,Charlie,830
2024-09-14,Franky,966
2024-09-14,Tony,1218
2024-09-14,Tula,840
2024-09-14,Charlie,848
2024-09-15,Franky,969
2024-09-15,Tony,1228
2024-09-15,Tula,869
2024-09-15,Charlie,879
2024-09-16,Franky,998
2024-09-16,Tony,1285
2024-09-16,Tula,911
2024-09-16,Charlie,898
2024-09-17,Franky,1020
2024-09-17,Tony,1325
2024-09-17,Tula,935
2024-09-17,Charlie,914
